City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,berezovyy,51.6667,135.7,-9.03,68,94,1.34,RU,1699720340
1,badger,64.8,-147.5333,-8.07,73,100,1.54,US,1699720341
2,margaret river,-33.95,115.0667,12.18,69,82,6.67,AU,1699720341
3,bengkulu,-3.8004,102.2655,23.97,93,14,1.59,ID,1699720341
4,muzaffarpur,26.1167,85.4,23.07,53,0,2.39,IN,1699720341
5,tilisarao,-32.7329,-65.2911,29.91,17,0,3.67,AR,1699720341
6,olonkinbyen,70.9221,-8.7187,1.25,97,100,4.0,SJ,1699720342
7,nogliki,51.8333,143.1667,-7.03,81,99,8.05,RU,1699720342
8,vorgashor,67.5833,63.95,-8.28,97,84,3.64,RU,1699720342
9,port-aux-francais,-49.35,70.2167,3.42,63,14,5.3,TF,1699720342
10,thompson,55.7435,-97.8558,-1.91,86,100,3.6,CA,1699720342
11,waitangi,-43.9535,-176.5597,11.11,82,28,5.24,NZ,1699720342
12,grytviken,-54.2811,-36.5092,4.17,85,32,0.22,GS,1699720343
13,chinde,26.8418,88.0763,12.81,71,1,2.28,NP,1699720343
14,college,64.8569,-147.8028,-8.03,73,100,1.54,US,1699720343
15,susuman,62.7833,148.1667,-32.88,100,81,0.03,RU,1699720343
16,ushuaia,-54.8,-68.3,6.81,70,75,10.8,AR,1699720344
17,enriquillo,17.9,-71.2333,29.2,70,6,7.05,DO,1699720344
18,qaqortoq,60.7167,-46.0333,-1.27,68,36,3.41,GL,1699720159
19,hoi an,15.8794,108.335,26.98,90,4,2.36,VN,1699720344
20,paracuru,-3.41,-39.0306,28.39,54,3,7.13,BR,1699720344
21,pak kret,13.913,100.4988,28.88,92,20,2.06,TH,1699720345
22,albany,42.6001,-73.9662,7.98,58,3,3.13,US,1699720345
23,itoman,26.1247,127.6694,21.21,88,100,7.2,JP,1699720345
24,bilibino,68.0546,166.4372,-30.94,100,89,1.41,RU,1699720345
25,zaysan,47.4667,84.8667,0.19,90,29,1.14,KZ,1699720346
26,villa mercedes,-33.6757,-65.4578,28.7,21,0,5.35,AR,1699720293
27,adamstown,-25.066,-130.1015,22.6,82,28,4.65,PN,1699720346
28,salekhard,66.53,66.6019,-6.68,97,97,1.86,RU,1699720346
29,longyearbyen,78.2186,15.6401,-6.09,68,75,3.6,SJ,1699720346
30,iqaluit,63.7506,-68.5145,-7.15,79,75,5.66,CA,1699720347
31,yanjiang,30.1211,104.6481,14.75,79,100,5.88,CN,1699720163
32,puerto natales,-51.7236,-72.4875,8.32,47,100,5.03,CL,1699720297
33,bethel,41.3712,-73.414,11.68,55,75,2.57,US,1699720347
34,blackmans bay,-43.0167,147.3167,9.07,87,61,0.45,AU,1699720347
35,kerikeri,-35.2268,173.9474,8.42,86,80,2.0,NZ,1699720347
36,whitehorse,60.7161,-135.0538,-2.17,100,75,1.54,CA,1699720123
37,nadym,65.5333,72.5167,-1.81,98,100,6.21,RU,1699720348
38,dalandzadgad,43.5708,104.425,-5.78,28,0,3.78,MN,1699720348
39,talnakh,69.4865,88.3972,-11.02,95,100,2.98,RU,1699720348
40,gokceada,40.2011,25.909,18.6,70,100,10.13,TR,1699720348
41,malango,-2.9627,119.9001,20.39,95,97,0.6,ID,1699720349
42,tondano,1.3038,124.9112,21.05,98,100,1.5,ID,1699720349
43,punta arenas,-53.15,-70.9167,5.62,43,96,7.82,CL,1699720344
44,christchurch,-43.5333,172.6333,9.12,85,6,1.54,NZ,1699720202
45,ivdel',60.6911,60.4206,2.33,91,100,1.34,RU,1699720349
46,udachny,66.4167,112.4,-15.38,90,36,2.49,RU,1699720349
47,mantua,45.1667,10.7833,12.58,87,1,0.89,IT,1699720350
48,remire-montjoly,4.9167,-52.2667,29.19,72,2,5.77,GF,1699720350
49,remedios,22.4947,-79.5458,29.51,78,71,7.59,CU,1699720350
50,enewetak,11.3474,162.3373,27.99,77,90,6.65,MH,1699720350
51,papatowai,-46.5619,169.4708,8.95,78,49,3.73,NZ,1699720350
52,xunchang,28.4543,104.715,17.35,87,99,1.66,CN,1699720352
53,brookings,44.3114,-96.7984,5.25,76,0,4.63,US,1699720352
54,weno,7.4515,151.8468,26.97,89,40,3.09,FM,1699720352
55,paita,-5.0892,-81.1144,24.16,67,42,5.14,PE,1699720353
56,kalmunai,7.4167,81.8167,26.12,87,57,1.01,LK,1699720353
57,port augusta,-32.5,137.7667,15.64,60,67,7.02,AU,1699720353
58,koutiala,12.3917,-5.4642,36.34,12,73,3.42,ML,1699720353
59,alvorada,-12.48,-49.1247,38.05,22,66,3.45,BR,1699720354
60,sinabang,2.4803,96.3801,25.78,85,92,1.06,ID,1699720354
61,kodiak,57.79,-152.4072,1.73,48,100,9.26,US,1699720354
62,edinburgh of the seven seas,-37.0676,-12.3116,14.94,93,100,15.11,SH,1699720354
63,chernomorskoye,45.5039,32.6997,14.83,95,76,10.66,UA,1699720355
64,tateyama,34.9833,139.8667,13.39,76,100,6.57,JP,1699720355
65,la passe,45.5549,-0.8967,12.13,93,100,4.99,FR,1699720355
66,pangai,-19.8,-174.35,24.12,83,100,12.31,TO,1699720355
67,port elizabeth,-33.918,25.5701,19.16,86,0,9.26,ZA,1699720355
68,st. john's,47.5649,-52.7093,3.87,93,100,8.75,CA,1699720207
69,gadzhiyevo,69.2551,33.3362,-5.88,85,81,2.87,RU,1699720356
70,tura,25.5198,90.2201,19.08,87,0,1.72,IN,1699720356
71,puerto aysen,-45.4,-72.7,8.14,92,90,2.64,CL,1699720297
72,tolanaro,-25.0319,46.9987,23.04,64,40,6.17,MG,1699720356
73,vadso,70.0744,29.7487,-2.91,80,20,7.2,NO,1699720357
74,mejit,10.2753,170.8646,27.29,83,100,7.85,MH,1699720357
75,dunedin,-45.8742,170.5036,9.59,75,84,2.68,NZ,1699720211
76,richmond,37.5538,-77.4603,11.71,70,75,2.06,US,1699720258
77,mitu,1.1983,-70.1733,31.35,58,96,0.9,CO,1699720357
78,novyy urgal,51.0736,132.5642,-16.27,97,34,0.73,RU,1699720358
79,villa gesell,-37.2639,-56.973,23.92,62,39,7.75,AR,1699720358
80,bardai,11.65,7.2333,28.57,19,71,2.88,NG,1699720358
81,siem reap,13.5,104.0,24.96,89,32,1.2,KH,1699720358
82,avarua,-21.2078,-159.775,23.03,94,20,1.03,CK,1699720358
83,lompoc,34.6391,-120.4579,21.03,68,0,2.57,US,1699720314
84,mount pearl,47.5166,-52.7813,3.41,93,100,8.75,CA,1699720358
85,ust-nera,64.5667,143.2,-33.01,99,64,1.95,RU,1699720359
86,nova sintra,14.8667,-24.7167,22.46,71,89,5.25,CV,1699720359
87,jamestown,42.097,-79.2353,6.68,71,100,3.09,US,1699720245
88,zeya,53.75,127.2667,-12.51,74,50,1.88,RU,1699720359
89,santyoku,37.4406,129.1708,3.92,50,20,3.82,KR,1699720359
90,timmins,48.4669,-81.3331,-2.1,74,100,1.54,CA,1699720204
91,sterling,39.0062,-77.4286,13.4,72,40,4.12,US,1699720360
92,motueka,-41.1333,173.0167,8.94,77,6,2.46,NZ,1699720360
93,pauini,-7.7136,-66.9764,39.85,28,20,1.38,BR,1699720360
94,codrington,-38.2667,141.9667,8.72,86,11,3.26,AU,1699720360
95,hermanus,-34.4187,19.2345,17.1,74,0,5.97,ZA,1699720361
96,ulsan,35.5372,129.3167,4.96,47,95,4.18,KR,1699720361
97,vila velha,-20.3297,-40.2925,30.97,70,0,9.26,BR,1699720361
98,petoskey,45.3733,-84.9553,5.87,65,100,1.54,US,1699720115
99,daru,-9.0763,143.2092,25.46,77,36,5.03,PG,1699720362
100,cole harbour,44.6724,-63.4751,7.62,76,97,4.63,CA,1699720345
101,stanley,54.868,-1.6985,6.14,85,20,1.54,GB,1699720362
102,masterton,-40.9597,175.6575,11.05,98,10,1.93,NZ,1699720362
103,bredasdorp,-34.5322,20.0403,17.29,62,4,7.56,ZA,1699720362
104,odda,60.0691,6.5457,4.87,87,64,3.12,NO,1699720363
105,nouadhibou,20.931,-17.0347,26.99,44,77,6.17,MR,1699720363
106,constantia,44.1833,28.65,11.38,70,100,6.54,RO,1699720363
107,polyarnyy,69.1989,33.4478,-5.6,84,80,2.77,RU,1699720363
108,irtyshsk,53.3333,75.4572,4.8,74,100,3.66,KZ,1699720363
109,bubaque,11.2833,-15.8333,28.7,52,74,2.74,GW,1699720363
110,klyuchi,52.2667,79.1667,4.6,76,99,5.04,RU,1699720363
111,holmsund,63.706,20.3641,-1.03,86,75,5.14,SE,1699720161
112,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,98,75,6.0,RU,1699720264
113,vilyuchinsk,52.9306,158.4028,1.15,74,74,12.28,RU,1699720364
114,port blair,11.6667,92.75,28.02,83,40,1.03,IN,1699720364
115,ribeira grande,38.5167,-28.7,21.22,88,40,5.66,PT,1699720364
116,bathsheba,13.2167,-59.5167,29.34,84,20,10.29,BB,1699720365
117,klaksvik,62.2266,-6.589,3.51,68,89,6.58,FO,1699720365
118,cefalu,38.0386,14.0229,19.74,64,10,2.68,IT,1699720365
119,toungo,8.1167,12.05,28.72,52,80,1.41,NG,1699720365
120,aasiaat,68.7098,-52.8699,-12.79,78,100,3.02,GL,1699720366
121,amga,60.8953,131.9608,-15.25,97,100,1.09,RU,1699720366
122,patos de minas,-18.5789,-46.5181,36.52,12,14,3.47,BR,1699720366
123,beledweyne,4.7358,45.2036,25.3,82,96,6.7,SO,1699720366
124,port mathurin,-19.6833,63.4167,25.36,80,13,3.95,MU,1699720366
125,mahina,-17.5065,-149.489,26.87,74,75,3.6,PF,1699720366
126,arar,30.9753,41.0381,25.01,20,0,4.12,SA,1699720366
127,birobidzhan,48.8,132.95,-15.1,94,12,2.19,RU,1699720367
128,montevideo,-34.8335,-56.1674,22.84,78,40,7.72,UY,1699720231
129,qarqaraly,49.4058,75.4742,3.63,71,100,5.86,KZ,1699720367
130,ocean shores,46.9737,-124.1563,12.19,90,100,7.72,US,1699720367
131,sarkisla,39.3519,36.4098,14.3,48,93,3.11,TR,1699720367
132,kitimat,54.0524,-128.6534,3.84,64,100,2.68,CA,1699720367
133,damghan,36.1683,54.348,14.59,59,4,0.74,IR,1699720368
134,invercargill,-46.4,168.35,13.34,61,72,3.58,NZ,1699720311
135,lexington,37.9887,-84.4777,10.69,55,0,3.09,US,1699720354
136,dniprorudne,47.3817,34.9765,10.6,75,98,11.05,UA,1699720368
137,n'zeto,-7.2312,12.8666,26.26,80,67,2.24,AO,1699720368
138,pujehun,7.3581,-11.7208,28.0,78,89,2.0,SL,1699720368
139,chonchi,-42.6128,-73.8092,11.73,83,70,4.62,CL,1699720368
140,muleba,-1.8397,31.6544,21.02,75,65,0.92,TZ,1699720369
141,jayapura,-2.5333,140.7,26.66,92,97,2.49,ID,1699720369
142,qinnan,33.2531,119.9133,7.55,79,100,4.86,CN,1699720369
143,wailua homesteads,22.0669,-159.378,24.44,87,100,6.69,US,1699720369
144,guaxupe,-21.3053,-46.7128,35.12,16,11,3.16,BR,1699720370
145,ilulissat,69.2167,-51.1,-7.99,49,75,4.12,GL,1699720370
146,tiksi,71.6872,128.8694,-11.3,87,100,7.81,RU,1699720334
147,mandalgovi,45.7625,106.2708,-9.83,40,0,5.54,MN,1699720370
148,kingston,17.997,-76.7936,31.8,64,75,3.09,JM,1699720214
149,villeneuve-sur-yonne,48.0825,3.2969,7.87,93,99,3.1,FR,1699720370
150,mount isa,-20.7333,139.5,23.87,73,91,2.57,AU,1699720370
151,fortuna,40.5982,-124.1573,7.59,100,75,0.0,US,1699720370
152,puerto ayora,-0.7393,-90.3518,29.98,84,80,4.92,EC,1699720371
153,port-vila,-17.7338,168.3219,23.68,78,91,9.54,VU,1699720371
154,grand-lahou,5.1367,-5.0242,27.59,81,39,4.11,CI,1699720371
155,an nuhud,12.7,28.4333,32.61,29,89,3.61,SD,1699720371
156,hastings,50.8552,0.5729,8.86,75,4,2.29,GB,1699720197
157,whitecourt,54.1502,-115.6855,-3.42,74,75,0.0,CA,1699720371
158,melilla,35.2937,-2.9383,25.11,68,20,5.14,ES,1699720372
159,kuala tungkal,-0.8167,103.4667,26.78,82,15,2.14,ID,1699720372
160,rio grande,-32.035,-52.0986,23.06,85,98,5.92,BR,1699720312
161,ibarreta,-25.2144,-59.8585,43.85,18,82,7.51,AR,1699720372
162,hithadhoo,-0.6,73.0833,27.15,83,22,5.33,MV,1699720372
163,pachino,36.7186,15.0907,18.99,67,84,8.76,IT,1699720372
164,utrik,11.2278,169.8474,26.03,91,100,6.72,MH,1699720372
165,fale old settlement,-9.3852,-171.2468,28.77,73,20,3.41,TK,1699720372
166,guerrero negro,27.9769,-114.0611,19.94,34,0,0.55,MX,1699720167
167,concordia,-31.393,-58.0209,28.21,65,62,1.79,AR,1699720205
168,bayana,26.9,77.2833,20.65,47,0,1.95,IN,1699720373
169,auki,-8.7676,160.7034,25.56,91,100,4.21,SB,1699720373
170,borogontsy,62.6683,131.1683,-20.97,99,100,1.27,RU,1699720373
171,saldanha,-33.0117,17.9442,21.03,85,28,5.06,ZA,1699720374
172,ternate,0.8,127.4,27.0,79,97,1.12,ID,1699720374
173,pointe-noire,-4.7761,11.8635,26.3,81,99,2.07,CG,1699720374
174,road town,18.4167,-64.6167,31.05,70,40,5.14,VG,1699720374
175,tazovsky,67.4667,78.7,-4.68,95,100,4.33,RU,1699720374
176,hawera,-39.5917,174.2833,9.46,90,11,4.76,NZ,1699720147
177,dong ha,16.8163,107.1003,24.54,93,17,0.69,VN,1699720375
178,palikir - national government center,6.9248,158.1611,24.41,94,75,1.54,FM,1699720375
179,santa rosa de cabal,4.8681,-75.6214,23.58,75,40,2.57,CO,1699720375
180,oranjemund,-28.55,16.4333,16.87,79,1,7.76,NA,1699720376
181,shetpe,44.1667,52.1167,7.28,60,3,1.49,KZ,1699720376
182,nieuw amsterdam,5.8833,-55.0833,35.09,49,40,2.57,SR,1699720376
183,ola,59.5833,151.2833,-17.83,83,1,5.81,RU,1699720377
184,shizunai-furukawacho,42.3339,142.3669,2.38,66,72,5.64,JP,1699720377
185,alice springs,-23.7,133.8833,28.75,45,16,4.63,AU,1699720377
186,kolonia town,6.964,158.206,25.0,94,75,1.54,FM,1699720377
187,jindabyne,-36.4167,148.6333,12.81,94,77,0.9,AU,1699720377
188,sao joao da barra,-21.6403,-41.0511,32.05,75,18,6.13,BR,1699720233
189,talcahuano,-36.7167,-73.1167,9.9,75,100,6.86,CL,1699720284
190,byron bay,-28.65,153.6167,18.17,87,38,3.82,AU,1699720378
191,changtu,42.7788,124.0955,-14.75,97,21,1.26,CN,1699720378
192,kailua-kona,19.6406,-155.9956,23.06,95,100,4.63,US,1699720378
193,saint-philippe,-21.3585,55.7679,24.77,84,76,4.85,RE,1699720378
194,lamu,-2.2717,40.902,26.12,83,97,2.8,KE,1699720379
195,lata,40.1629,-8.3327,18.93,90,100,3.12,PT,1699720379
196,nurota,40.5614,65.6886,9.06,56,79,2.79,UZ,1699720379
197,messini,37.0511,22.0078,20.66,77,40,1.54,GR,1699720379
198,choibalsan,48.0667,114.5,-15.13,90,14,3.84,MN,1699720379
199,sabirabad,40.0095,48.4752,14.43,71,79,1.54,AZ,1699720379
200,cinisi,38.1562,13.1073,19.56,63,20,8.75,IT,1699720379
201,tsiombe,-25.3,45.4833,21.37,65,0,6.84,MG,1699720380
202,kirakira,-10.4544,161.9205,26.17,88,100,3.95,SB,1699720380
203,lodwar,3.1191,35.5973,30.54,44,43,7.36,KE,1699720380
204,fort bragg,35.139,-79.006,11.57,88,100,2.06,US,1699720234
205,wajir,1.7471,40.0573,28.97,62,96,2.73,KE,1699720380
206,birjand,32.8663,59.2211,13.26,28,0,2.06,IR,1699720380
207,cidreira,-30.1811,-50.2056,22.28,96,98,3.32,BR,1699720380
208,alofi,-19.0595,-169.9187,21.94,100,100,7.72,NU,1699720381
209,port alfred,-33.5906,26.891,19.54,87,26,2.68,ZA,1699720381
210,atafu village,-8.5421,-172.5159,28.73,74,36,4.45,TK,1699720381
211,rmi capitol,7.0893,171.3805,26.97,89,100,3.09,MH,1699720381
212,nikolayevsk-on-amure,53.1406,140.73,-10.92,92,99,4.03,RU,1699720381
213,crockett,31.3182,-95.4566,12.99,94,100,3.6,US,1699720381
214,lanxi,29.2195,119.477,12.12,94,100,1.08,CN,1699720382
215,goiatuba,-18.0125,-49.3547,38.47,14,34,3.67,BR,1699720382
216,anadyr,64.75,177.4833,-17.72,91,20,3.0,RU,1699720382
217,kivertsi,50.8343,25.4582,8.97,85,100,2.88,UA,1699720382
218,georgetown,5.4112,100.3354,26.12,95,20,2.57,MY,1699720273
219,carbonear,47.7332,-53.2148,4.12,91,100,9.25,CA,1699720383
220,zag,46.9441,99.165,-15.85,79,6,1.65,MN,1699720383
221,codajas,-3.8367,-62.0569,36.72,33,58,1.7,BR,1699720383
222,smara,26.7384,-11.6719,31.68,15,1,2.98,EH,1699720383
223,west island,-12.1568,96.8225,25.99,83,40,3.09,CC,1699720383
224,fuglafjordur,62.244,-6.814,3.26,70,88,5.52,FO,1699720383
225,bay roberts,47.5999,-53.2648,4.07,92,100,4.47,CA,1699720384
226,touros,-5.1989,-35.4608,29.39,54,1,7.18,BR,1699720384
227,dili,-8.5586,125.5736,26.63,71,97,1.6,TL,1699720384
228,jampur,29.6441,70.5954,20.99,40,0,1.75,PK,1699720384
229,haiku-pauwela,20.9219,-156.3051,23.36,80,40,6.17,US,1699720385
230,dishna,26.1247,32.476,30.1,27,100,1.69,EG,1699720385
231,chemolgan,43.1897,76.5292,4.81,51,100,0.71,KZ,1699720385
232,korla,41.7597,86.1469,3.94,76,48,2.95,CN,1699720385
233,coruripe,-10.1256,-36.1756,28.75,54,29,6.12,BR,1699720386
234,saint-joseph,-21.3667,55.6167,24.21,85,71,3.98,RE,1699720386
235,formosa do rio preto,-11.0483,-45.1931,37.89,16,14,3.65,BR,1699720386
236,huarmey,-10.0681,-78.1522,23.45,70,35,5.08,PE,1699720386
237,kiiminki,65.1314,25.7974,-8.19,92,9,3.0,FI,1699720387
238,crane,31.3974,-102.3501,11.6,69,100,1.89,US,1699720387
239,labrador city,52.9463,-66.9114,-7.05,79,100,2.57,CA,1699720209
240,cabedelo,-6.9811,-34.8339,29.37,63,64,6.16,BR,1699720387
241,markala,13.7021,-6.0659,36.2,13,45,2.78,ML,1699720387
242,ca mau,9.1769,105.15,24.98,95,89,2.14,VN,1699720387
243,fort st. john,56.2499,-120.8529,-0.06,86,40,1.54,CA,1699720388
244,kadugli,11.0167,29.7167,29.94,47,80,1.2,SD,1699720388
245,al bawiti,28.3492,28.8659,22.6,57,95,1.77,EG,1699720388
246,sao felix do xingu,-6.6447,-51.995,37.68,27,21,2.04,BR,1699720388
247,charleston,32.7766,-79.9309,13.34,92,100,4.63,US,1699720130
248,urzhar,47.093,81.6294,5.52,74,64,4.04,KZ,1699720389
249,nabire,-3.3667,135.4833,25.04,89,100,2.03,ID,1699720389
250,kutum,14.2,24.6667,25.68,25,99,1.03,SD,1699720389
251,souillac,-20.5167,57.5167,24.21,88,75,1.54,MU,1699720389
252,labuan,5.2767,115.2417,26.2,89,20,0.0,MY,1699720390
253,al jawf,29.5,38.75,25.44,26,98,4.69,SA,1699720390
254,inhambane,-23.865,35.3833,24.99,69,0,3.6,MZ,1699720390
255,yellowknife,62.456,-114.3525,-0.88,100,75,5.14,CA,1699720217
256,arkhipo-osipovka,44.37,38.52,14.8,80,64,7.44,RU,1699720390
257,whakatane,-37.9585,176.9854,13.06,90,88,0.45,NZ,1699720390
258,ceeldheer,3.8488,47.1806,24.77,89,100,3.34,SO,1699720391
259,callao,-12.0667,-77.15,23.16,60,75,5.14,PE,1699720225
260,kenai,60.5544,-151.2583,-2.7,94,100,1.54,US,1699720391
261,hamilton,39.1834,-84.5333,10.14,55,0,3.6,US,1699720310
262,carnarvon,-24.8667,113.6333,20.24,80,4,5.44,AU,1699720391
263,ciudad lazaro cardenas,17.9583,-102.2,29.64,65,38,0.14,MX,1699720392
264,carahue,-38.7,-73.1667,9.83,72,100,5.16,CL,1699720392
265,san patricio,28.017,-97.5169,15.66,81,100,3.47,US,1699720392
266,phongsali,21.6833,102.1058,18.09,71,76,0.18,LA,1699720392
267,acarau,-2.8856,-40.12,30.82,52,32,8.98,BR,1699720392
268,hawaiian paradise park,19.5933,-154.9731,21.13,95,100,2.57,US,1699720392
269,knittelfeld,47.2167,14.8167,6.93,52,75,4.12,AT,1699720393
270,yuzhno-kurilsk,44.0306,145.8556,2.43,80,77,2.59,RU,1699720393
271,phalaborwa,-23.943,31.1411,32.6,30,0,3.08,ZA,1699720393
272,walvis bay,-22.9575,14.5053,17.14,80,62,9.43,NA,1699720393
273,pokhara,28.2333,83.9833,14.16,78,13,3.3,NP,1699720394
